"Program","Year","Period","State","State ANSI","Fruit","Price or Weight?","Pesticide or Market","Measurement Unit","Aggregate type","Domain","Domain Category","Value","CV (%)"
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","2.8",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","3.4",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)","9.5",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (COPPER ETHANOLAMINE = 24409)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUROXYPYR 1-MHE = 128968)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (HALOSULFURON-METHYL = 128721)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (KANTOR = 129108)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","2.1",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENAZAQUIN = 44501)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)","2.6",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","1.8",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROMESIFEN = 24875)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SULFOXAFLOR = 5210)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ACIBENZOLAR-S-METHYL = 61402)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYTOKININS = 116801)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ETHEPHON = 99801)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (INDOLEBUTYRIC ACID = 46701)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN NUMBER"," AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 = 6800)","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","2,500,000",NA
"SURVEY",2021,"YEAR","FLORIDA","12","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN TONS",NA,"TOTAL","NOT SPECIFIED","125,000",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN TONS",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","3,101,370,000",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","21,660,000",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","318,050,000",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,970,000",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN TONS",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","93.1",NA
"SURVEY",2020,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","139",NA
"SURVEY",2020,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","111",NA
"SURVEY",2020,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","38.1",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","2,211,430,000",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","23,800,000",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN TONS",NA,NA,"TOTAL","NOT SPECIFIED","1,190,000",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","50,000",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","23,750,000",NA
"SURVEY",2020,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN TONS",NA,"TOTAL","NOT SPECIFIED","1,187,500",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","397,790,000",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","2,870,000",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES","PRODUCTION"," MEASURED IN TONS",NA,NA,"TOTAL","NOT SPECIFIED","143,500",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","10,000",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","2,860,000",NA
"SURVEY",2020,"YEAR","FLORIDA","12","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN TONS",NA,"TOTAL","NOT SPECIFIED","143,000",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN TONS",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","2,425,990,000",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","21,800,000",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","183,230,000",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,810,000",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2020,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN TONS",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2019,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","110",NA
"SURVEY",2019,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2019,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2019,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","152",NA
"SURVEY",2019,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2019,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2019,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","129",NA
"SURVEY",2019,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","52.8",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","2,286,330,000",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","20,800,000",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","5,500",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)","(NA)",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBT. GB03 = 129068)","(NA)",NA
"SURVEY",2019,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","(NA)",NA
